,spikes,cellID
1,0.662766666666666,4
2,0.8581,4
3,1.47686666666667,4
4,1.50143333333333,4
5,1.56636666666667,4
6,1.5707,4
7,1.599,4
8,1.61123333333333,4
9,1.63063333333333,4
10,1.77173333333333,4
11,1.80733333333333,4
13,1.91996666666667,4
14,2.7927,4
,2.8932,
15,3.903,4
16,4.10583333333333,4
17,4.17763333333333,4
18,4.30603333333333,4
19,4.3261,4
20,4.57213333333333,4
21,5.02573333333333,4
22,5.21473333333333,4
23,5.97006666666667,4
24,6.8793,4
25,6.98953333333333,4
26,7.1124,4
27,7.355,4
28,7.52186666666667,4
29,7.7601,4
32,7.8878,4
33,7.89086666666667,4
36,7.93473333333333,4
40,7.99486666666667,4
41,8.0712,4
44,9.28843333333333,4
45,9.46723333333333,4
46,9.67926666666667,4
47,9.7899,4
48,9.85503333333333,4
49,9.8647,4
50,9.9292,4
