,spikes,cellID
1,0.0941333333333318,5
2,0.392833333333332,5
3,0.576233333333334,5
4,0.579733333333333,5
5,0.622066666666665,5
6,0.751200000000001,5
7,0.794866666666667,5
8,0.946000000000002,5
9,1.17593333333333,5
10,1.45186666666667,5
14,2.3194,5
15,2.45996666666667,5
16,2.81336666666667,5
17,3.26103333333333,5
18,4.00783333333333,5
19,4.129,5
20,4.176,5
21,4.30483333333333,5
22,4.3453,5
23,4.7261,5
24,4.98033333333333,5
25,5.10053333333333,5
26,5.7932,5
27,6.74503333333333,5
28,6.78723333333333,5
29,7.0072,5
30,7.1572,5
31,7.19706666666667,5
32,7.6075,5
33,7.62556666666667,5
35,7.64973333333333,5
36,7.74223333333333,5
37,7.90813333333333,5
38,8.28803333333333,5
39,8.68913333333333,5
40,8.76293333333333,5
41,9.28936666666667,5
42,9.92976666666667,5
43,9.93996666666667,5
