sp1
98
110
112
130
149
153
156
175
200
245
259
318
342
351
371
390
455
489
522
594
708
741
835
840
846
849
854
870
873
883
990
1051
1080
1101
1120
1151
1156
1164
1212
1226
1244
1254
1294
1301
1358
1381
1435
1476
1497
1507
1524
1526
1539
1546
1575
1594
1624
1643
1676
1686
1728
1744
1749
1751
1770
1777
1814
1861
1867
1911
1970
1989
2104
2151
2171
2200
2220
2222
2243
2250
2279
2302
2387
2499
2523
2531
2597
2641
2649
2662
2720
2736
2744
2775
2781
2907
2910
2956
2976
2980
3001
3032
3053
3057
3071
3086
3100
3194
3255
3278
3285
3289
3291
3297
3333
3362
3397
3431
3444
3476
3488
3494
3530
3560
3569
3583
3585
3601
3630
3664
3702
3873
3888
3894
3899
3973
4003
4027
4040
4050
4069
4189
4195
4200
4224
4226
4267
4286
4294
4311
4347
4375
4413
4427
4438
4446
4582
4602
4620
4637
4652
4654
4731
4744
4750
4766
4770
4772
4779
4817
4885
4890
4891
4968
5043
5073
5078
5100
5145
5154
5220
5244
5276
5295
5341
5359
5365
5367
5386
5390
5399
5401
5410
5417
5448
5474
5533
5553
5563
5574
5602
5616
5672
5762
5776
5812
5814
5822
5898
5933
5964
6004
6007
6094
6124
6152
6160
6169
6181
6215
6217
6220
6236
6253
6261
6273
6274
6376
6428
6450
6457
6471
6472
6486
6507
6509
6519
6563
6587
6799
6868
6875
6887
6896
6939
7001
7014
7018
7038
7207
7252
7384
7429
7538
7561
7577
7609
7631
7649
7651
7818
7828
7839
7882
7908
7923
7928
7943
8051
8102
8135.999999999999
8148
8196
8224
8263
8271
8318
8326
8338
8346
8367
8372
8410
8413
8430
8432
8513
8663
8682
8709
8753
8775
8796
8823
8887
8950
8985
8991
9043
9086
9147
9151
9169
9174
9213
9319
9343
9349
9384
9392
9423
9429
9456
9665
9694
9710
9729
9763
9791
9826
9871
9878
9928
9931
9937
9977
