,spikes,cellID
1,0.192766666666667,1
2,0.627300000000002,1
3,0.9086,1
5,0.946066666666667,1
6,0.993600000000001,1
7,1.52043333333333,1
8,1.63456666666667,1
9,1.8841,1
10,2.1347,1
11,2.1837,1
12,2.23196666666667,1
13,2.29736666666667,1
14,2.31873333333333,1
15,2.3209,1
16,2.42256666666667,1
17,2.5392,1
18,2.64266666666667,1
19,2.72943333333333,1
20,2.7816,1
21,2.88886666666667,1
21,3.5762,1
21,3.7102,1
22,3.8558,1
22,3.912,1
22,4.0124,1
22,4.1123,1
23,4.21633333333333,1
21,4.4326,1
24,4.6264,1
25,4.7049,1
29,4.84296666666667,1
30,4.88776666666667,1
31,5.2473,1
32,5.45386666666667,1
33,5.6212,1
34,5.74566666666666,1
35,5.86,1
36,7.14166666666667,1
37,9.16306666666667,1
38,9.2681,1
39,9.78893333333333,1
40,9.79823333333333,1
41,9.8241,1
42,9.95146666666666,1
43,9.9819,1
