,spikes,cellID
1,0.0971000000000011,9
2,0.1173,9
3,0.429333333333332,9
4,0.490366666666667,9
5,0.531666666666666,9
6,0.609966666666665,9
12,0.932233333333333,9
13,1.09693333333333,9
14,1.11633333333333,9
17,1.2092,9
18,1.38346666666667,9
19,1.463,9
20,1.5967,9
21,1.7904,9
22,1.88436666666666,9
23,2.0069,9
24,2.02576666666667,9
25,2.13466666666667,9
26,2.68703333333333,9
27,2.74773333333333,9
28,2.94043333333333,9
29,3.12136666666667,9
30,3.17506666666667,9
31,3.1809,9
32,3.25513333333333,9
33,3.29593333333333,9
34,3.31346666666667,9
35,3.52343333333333,9
36,3.6658,9
37,3.73756666666667,9
38,3.75286666666667,9
39,3.82436666666667,9
40,3.99006666666667,9
41,4.06843333333333,9
42,4.1274,9
42,4.2341,9
43,4.4682,9
44,4.5261,9
45,4.73803333333333,9
46,4.81566666666667,9
47,4.8668,9
48,5.72003333333333,9
49,5.84346666666667,9
50,6.54053333333333,9
51,6.70116666666667,9
52,6.82973333333333,9
53,7.0037,9
54,7.14673333333333,9
55,7.16493333333333,9
56,7.22943333333333,9
59,7.81913333333333,9
60,7.9898,9
61,8.2743,9
62,8.50586666666667,9
63,8.60723333333333,9
64,8.70563333333333,9
65,8.85203333333333,9
66,8.92686666666667,9
67,9.03703333333333,9
68,9.5018,9
69,9.94876666666667,9
