"","spikes","cellID"
"1",0.518666666666668,"2"
"2",0.521033333333332,"2"
"3",0.544633333333334,"2"
"4",0.588166666666666,"2"
"5",0.627099999999999,"2"
"6",0.823899999999998,"2"
"7",0.897733333333335,"2"
"8",0.958033333333333,"2"
"9",1.0457,"2"
"10",1.25846666666667,"2"
"11",1.36076666666667,"2"
"12",1.42366666666667,"2"
"13",1.65686666666667,"2"
"14",1.77403333333333,"2"
"15",1.7941,"2"
"16",2.34383333333333,"2"
"17",2.58376666666667,"2"
"18",2.65496666666667,"2"
"19",2.76276666666667,"2"
"20",3.5615,"2"
"21",3.56456666666667,"2"
"22",4.00606666666667,"2"
"23",4.05263333333333,"2"
"24",4.05803333333333,"2"
"25",4.1245,"2"
"26",4.15226666666667,"2"
"27",4.16106666666667,"2"
"28",4.26416666666667,"2"
"29",4.27636666666667,"2"
"30",4.28703333333333,"2"
"31",4.29586666666667,"2"
"32",4.42143333333333,"2"
"33",4.4764,"2"
"34",4.92116666666667,"2"
"35",4.92736666666667,"2"
"36",5.0898,"2"
"37",5.3256,"2"
"38",5.61513333333333,"2"
"39",5.63033333333333,"2"
"40",6.13173333333333,"2"
"41",6.4861,"2"
"42",6.8473,"2"
"43",6.85533333333333,"2"
"44",6.90573333333333,"2"
"45",7.16666666666667,"2"
"46",7.26803333333333,"2"
"47",7.62756666666667,"2"
"48",7.92746666666667,"2"
"49",8.03276666666667,"2"
"50",8.3568,"2"
"51",8.6345,"2"
"52",9.3272,"2"
"53",9.38146666666667,"2"
"54",9.39676666666667,"2"
"55",9.54033333333333,"2"
"56",9.80616666666667,"2"
"57",9.83646666666667,"2"
