spikes
41.9144
81.6922
131.6624
169.5986
211.514
303.018
447.352
544.668
576.122
629.704
670.794
706.056
752.222
818.656
843.862
881.908
914.124
967.438
1087.22
1160.706
1200.312
1267.826
1399.754
1442.564
1580.358
1616.15
1666.046
1745.908
1789.802
1827.118
1933.504
1976.146
2019.96
2183.14
2227.34
2307.64
2338.52
2372.74
2465.52
2558
2603.64
2649.34
2792
2831.54
2882.12
2921.64
3003.74
3075.64
3113.94
3213.84
3278.24
3323.82
3364.18
3404.24
3447.42
3540.42
3576.72
3625.42
3674.6
3711.2
3768.72
3801.3
3868.92
3927.74
4001.06
4041.92
4073.98
4117.92
4160.72
4245.92
4290.76
4360.96
4416.82
4462.14
4506.78
4646.16
4697.4
4749.96
4790.9
4860.1
4888.88
5015.82
5061.2
5132.58
5180.8
5227.66
5270.38
5330.94
5366.32
5397.12
5461.04
5494.64
5546.88
5589.7
5622.92
5674.74
5719.24
5758.88
5801.72
5849.34
5896.24
5941.24
6020.88
6056.06
6197.02
6261.56
6310.1
6354.64
6387.22
6438.78
6483.24
6520.7
6560.4
6600.68
6632.84
6673
6776.08
6830.02
6858.28
6926.56
6982.6
7078.22
7149.66
7200.26
7230.72
7298.06
7408.96
7456.14
7575.14
7621.58
7665
7716.82
7792.72
7832.82
7865.16
7889.72
7934.84
7981.58
8006.08
8062.72
8108.14
8150.44
8217.24
8256.3
8351.68
8426.94
8477.14
8593.66
8627.68
8660.72
8707.88
8751.68
8804.56
8843
8869.8
8948.24
9010.62
9048.82
9090.56
9133.96
9170.08
9197.04
9253.5
9296.78
9342.28
9411.9
9458.96
9523.94
9559
9611.94
9654.86
9738.02
9769.12
9816.32
9851.04
9892.16
9931.88
9976.16
